時間,設備,值
2024-10-19 14:48:50,SA-23/TEMPERATURE,29.39
2024-10-19 14:48:52,SA-23/TEMPERATURE,28.92
2024-10-19 14:48:54,SA-23/TEMPERATURE,29.85
2024-10-19 14:48:56,SA-23/TEMPERATURE,28.92
2024-10-19 14:49:10,SA-23/TEMPERATURE,29.39
2024-10-19 14:49:12,SA-23/TEMPERATURE,28.92
2024-10-19 14:49:16,SA-23/TEMPERATURE,29.85
2024-10-19 14:49:18,SA-23/TEMPERATURE,29.39
2024-10-19 14:49:20,SA-23/TEMPERATURE,28.92
2024-10-19 14:49:24,SA-23/TEMPERATURE,29.39
2024-10-19 14:49:26,SA-23/TEMPERATURE,28.92
2024-10-19 14:49:38,SA-23/TEMPERATURE,29.39
2024-10-19 14:49:40,SA-23/TEMPERATURE,28.92
2024-10-19 14:50:18,SA-23/TEMPERATURE,29.39
2024-10-19 14:50:20,SA-23/TEMPERATURE,28.92
2024-10-19 14:50:22,SA-23/TEMPERATURE,29.39
2024-10-19 14:50:24,SA-23/TEMPERATURE,28.92
2024-10-19 14:50:40,SA-23/TEMPERATURE,29.39
2024-10-19 14:50:42,SA-23/TEMPERATURE,28.92
2024-10-19 14:51:02,SA-23/TEMPERATURE,29.39
2024-10-19 14:51:08,SA-23/TEMPERATURE,28.92
2024-10-19 14:51:28,SA-23/TEMPERATURE,29.85
2024-10-19 14:51:30,SA-23/TEMPERATURE,28.92
2024-10-19 14:51:32,SA-23/TEMPERATURE,29.39
2024-10-19 14:51:34,SA-23/TEMPERATURE,28.92
2024-10-19 14:51:50,SA-23/TEMPERATURE,29.39
2024-10-19 14:51:52,SA-23/TEMPERATURE,28.92
2024-10-19 14:51:56,SA-23/TEMPERATURE,29.39
2024-10-19 14:52:04,SA-23/TEMPERATURE,28.92
2024-10-19 14:52:06,SA-23/TEMPERATURE,29.85
2024-10-19 14:52:08,SA-23/TEMPERATURE,29.39
2024-10-19 14:52:10,SA-23/TEMPERATURE,28.92
2024-10-19 14:52:28,SA-23/TEMPERATURE,29.39
2024-10-19 14:52:34,SA-23/TEMPERATURE,28.92
2024-10-19 14:52:36,SA-23/TEMPERATURE,29.39
2024-10-19 14:52:38,SA-23/TEMPERATURE,28.92
2024-10-19 14:52:56,SA-23/TEMPERATURE,29.39
2024-10-19 14:52:58,SA-23/TEMPERATURE,28.92
2024-10-19 14:53:02,SA-23/TEMPERATURE,29.39
2024-10-19 14:53:04,SA-23/TEMPERATURE,28.92
2024-10-19 14:53:06,SA-23/TEMPERATURE,29.39
2024-10-19 14:53:08,SA-23/TEMPERATURE,28.92
2024-10-19 14:53:42,SA-23/TEMPERATURE,29.39
2024-10-19 14:53:44,SA-23/TEMPERATURE,28.92
2024-10-19 14:54:04,SA-23/TEMPERATURE,29.39
2024-10-19 14:54:06,SA-23/TEMPERATURE,28.92
2024-10-19 14:54:30,SA-23/LED_LEVEL,7
2024-10-19 14:54:32,SA-23/TEMPERATURE,28.92
2024-10-19 14:54:32,SA-23/LINE_LEVEL,11154
2024-10-19 14:54:34,SA-23/LINE_LEVEL,11330
2024-10-19 14:54:36,SA-23/LINE_LEVEL,11442
2024-10-19 14:54:40,SA-23/LINE_LEVEL,11346
2024-10-19 14:54:42,SA-23/LINE_LEVEL,11266
2024-10-19 14:54:44,SA-23/LINE_LEVEL,8866
2024-10-19 14:54:45,SA-23/LED_LEVEL,4
2024-10-19 14:54:45,SA-23/LED_LEVEL,2
2024-10-19 14:54:46,SA-23/LINE_LEVEL,9762
2024-10-19 14:54:46,SA-23/LED_LEVEL,3
2024-10-19 14:54:46,SA-23/LED_LEVEL,5
2024-10-19 14:54:47,SA-23/LED_LEVEL,6
2024-10-19 14:54:48,SA-23/LINE_LEVEL,10162
2024-10-19 14:54:50,SA-23/LINE_LEVEL,9506
2024-10-19 14:54:52,SA-23/TEMPERATURE,29.85
2024-10-19 14:54:52,SA-23/LINE_LEVEL,9522
2024-10-19 14:54:54,SA-23/TEMPERATURE,29.39
2024-10-19 14:54:54,SA-23/LINE_LEVEL,9650
2024-10-19 14:54:56,SA-23/TEMPERATURE,28.92
2024-10-19 14:54:56,SA-23/LINE_LEVEL,9522
2024-10-19 14:54:58,SA-23/LINE_LEVEL,10130
